task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,rouge1,f1_answer,f1_evidence,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
dare_ties-llama_2_7b-tulu_all_0.8-science_1000_0.2,0.44898,0.49509,0.40226,0.00000,0.04666,0.02333,0.32056,0.26395,0.03998,0.05103,0.28626,0.32000,0.44174,0.59574,0.29732,0.32000
dare_ties-llama_2_7b-tulu_all_0.8-science_100_0.2,0.41484,0.42392,0.37912,0.00000,0.03693,0.00777,0.33106,0.24951,0.03403,0.04300,0.26374,0.29392,0.39020,0.58678,0.27789,0.29392
dare_ties-llama_2_7b-tulu_all_0.8-science_200_0.2,0.46095,0.49342,0.38247,0.00000,0.04742,0.02680,0.31548,0.25604,0.03568,0.06182,0.23529,0.30601,0.40979,0.56800,0.28751,0.30601
dare_ties-llama_2_7b-tulu_all_0.8-science_2500_0.2,0.46693,0.47245,0.37333,0.00000,0.04789,0.01321,0.33358,0.24677,0.03964,0.04901,0.27734,0.27603,0.38948,0.57005,0.28664,0.27734
dare_ties-llama_2_7b-tulu_all_0.8-science_500_0.2,0.47490,0.49517,0.38483,0.00000,0.04854,0.01780,0.31526,0.23514,0.04135,0.05208,0.26471,0.28733,0.39988,0.60000,0.29085,0.28733
dare_ties-llama_2_7b-tulu_all_0.8-science_upsample_0.2,0.45045,0.48981,0.39655,0.00000,0.05697,0.02999,0.33037,0.27156,0.03987,0.04354,0.26516,0.31941,0.43279,0.59361,0.29612,0.31941
dare_ties-llama_2_7b-tulu_all_0.9-science_1000_0.1,0.38721,0.40758,0.38273,0.00000,0.04538,0.01135,0.32270,0.26987,0.03786,0.03860,0.24083,0.29412,0.38658,0.55340,0.27093,0.29412
dare_ties-llama_2_7b-tulu_all_0.9-science_100_0.1,0.43726,0.34974,0.37491,0.00000,0.02979,0.00426,0.31635,0.27280,0.02742,0.03290,0.21700,0.25934,0.36871,0.50000,0.25614,0.27280
dare_ties-llama_2_7b-tulu_all_0.9-science_200_0.1,0.39791,0.39694,0.37463,0.00000,0.02812,0.00187,0.39288,0.26834,0.03654,0.03790,0.22805,0.25926,0.36442,0.55411,0.27043,0.26834
dare_ties-llama_2_7b-tulu_all_0.9-science_2500_0.1,0.41055,0.36489,0.36890,0.00000,0.03125,0.00625,0.34897,0.26414,0.03125,0.03275,0.24795,0.27533,0.37461,0.55556,0.26650,0.27533
dare_ties-llama_2_7b-tulu_all_0.9-science_500_0.1,0.39451,0.38335,0.37959,0.00000,0.03175,0.00373,0.32558,0.26524,0.03272,0.03722,0.22388,0.24016,0.35529,0.55319,0.26065,0.26524
dare_ties-llama_2_7b-tulu_all_0.9-science_upsample_0.1,0.44898,0.39663,0.37046,0.00000,0.04030,0.00424,0.33597,0.25354,0.03360,0.03114,0.21544,0.28632,0.38405,0.55769,0.27001,0.28632
linear_weighted-llama_2_7b-tulu_all_0.1-science_1000_0.9,0.34599,0.66041,0.55450,0.00000,0.00797,0.01328,0.54518,0.27070,0.04991,0.09386,0.36570,0.44103,0.49815,0.62100,0.35966,0.36570
linear_weighted-llama_2_7b-tulu_all_0.1-science_100_0.9,0.32889,0.55969,0.55634,0.00000,0.02504,0.01610,0.37168,0.08926,0.03970,0.00000,0.27946,0.27273,0.32409,0.52133,0.27674,0.27946
linear_weighted-llama_2_7b-tulu_all_0.1-science_200_0.9,0.28767,0.55428,0.56044,0.00000,0.00581,0.00581,0.48747,0.09474,0.09909,0.00000,0.34537,0.33555,0.38846,0.55052,0.30190,0.33555
linear_weighted-llama_2_7b-tulu_all_0.1-science_2500_0.9,0.34874,0.58918,0.53256,0.00000,0.02184,0.01214,0.54416,0.19810,0.06682,0.12799,0.32538,0.43213,0.50776,0.67925,0.35147,0.34874
linear_weighted-llama_2_7b-tulu_all_0.1-science_500_0.9,0.37782,0.57316,0.54382,0.00000,0.01980,0.01760,0.47281,0.25966,0.11495,0.22091,0.39777,0.41290,0.47869,0.58723,0.36189,0.39777
linear_weighted-llama_2_7b-tulu_all_0.1-science_upsample_0.9,0.35533,0.60112,0.53059,0.00000,0.01238,0.01980,0.43626,0.26845,0.11138,0.20577,0.29185,0.38438,0.46467,0.63000,0.34796,0.35533
linear_weighted-llama_2_7b-tulu_all_0.2-science_1000_0.8,0.39648,0.66765,0.55157,0.00000,0.00718,0.01196,0.53459,0.26926,0.05408,0.08810,0.34828,0.46829,0.52059,0.65487,0.36730,0.39648
linear_weighted-llama_2_7b-tulu_all_0.2-science_100_0.8,0.33260,0.57380,0.55778,0.00000,0.03654,0.01661,0.35924,0.10039,0.05908,0.00000,0.29060,0.31311,0.36352,0.55967,0.28935,0.31311
linear_weighted-llama_2_7b-tulu_all_0.2-science_200_0.8,0.31169,0.56818,0.57288,0.00000,0.00298,0.00298,0.48125,0.10651,0.09625,0.00000,0.33505,0.34432,0.40603,0.55245,0.30651,0.33505
linear_weighted-llama_2_7b-tulu_all_0.2-science_2500_0.8,0.35294,0.59242,0.52951,0.00000,0.02299,0.02299,0.53601,0.22678,0.04218,0.09918,0.34162,0.44321,0.51412,0.69811,0.35318,0.35294
