model_key,base_model,tulu_model,tulu_model_weight,domain_model,domain_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_eval,codex_eval_plus_temp_0.1,codex_eval_plus_temp_0.8,mbpp_temp_0.1,mbpp_temp_0.8,bioasq_f1,biored_f1,discomat_bleu,evidence_inference_f1_exact,evidence_inference_f1_overlap,evidence_inference_f1_substring,multicite_f1,mup_lm_judge_reference,mup_rouge,qasper_f1_answer,qasper_f1_evidence,qasper_lm_judge_answer,scierc_f1,scifact_f1_evidence_sent,scifact_f1_evidence_token,scifact_f1_label,mean_null,median_null,bioasq_f1_TEST,biored_f1_TEST,discomat_bleu_TEST,evidence_inference_f1_exact_TEST,evidence_inference_f1_overlap_TEST,evidence_inference_f1_substring_TEST,multicite_f1_TEST,mup_lm_judge_reference_TEST,mup_rouge_TEST,qasper_f1_answer_TEST,qasper_f1_evidence_TEST,qasper_lm_judge_answer_TEST,scierc_f1_TEST,scifact_f1_evidence_sent_TEST,scifact_f1_evidence_token_TEST,scifact_f1_label_TEST,mean_null_TEST,median_null_TEST,harmbench,safe_average,unsafe_average
tulu_2_7b-tulu_none-safety_100,tulu_2_7b,tulu_none,1.0,safety_100,1.0,N/A,0.32037037037037036,0.34629629629629627,0.16097560975609757,0.28715777539684506,0.245,0.06,0.4570573992308788,0.4797037459051417,0.0,0.3769889840881273,28.055387350151392,5.745862126627897,4.788557213930348,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.599999616000014,0.0
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.2,llama_2_7b,tulu_all,1.0,coding_100,0.2,task_arithmetic,0.49351851851851847,0.4111111111111111,0.22957317073170735,0.4182009799081082,0.32,0.085,0.48953140578265203,0.5052699045719983,0.6625714285714286,0.5263157894736842,47.23748574692704,11.36274189761321,77.38095238095238,0.15365853658536585,0.31320356472795496,0.3248201438848921,0.4878364363435749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.1,llama_2_7b,tulu_all,1.0,coding_100,0.1,task_arithmetic,0.46574074074074073,0.41574074074074074,0.21036585365853658,0.36591501170429663,0.315,0.085,0.4918814983620567,0.5105398091439965,0.6538571428571428,0.49571603427172584,47.99442838393455,12.174873166671686,75.18656716417911,0.1496951219512195,0.2824317993039204,0.31097122302158275,0.47849128954213926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.3,llama_2_7b,tulu_all,1.0,coding_100,0.3,task_arithmetic,0.47962962962962963,0.4055555555555555,0.2414634146341464,0.45379301190390064,0.3,0.085,0.49038598490243557,0.5072639225181598,0.6585714285714286,0.5483476132190942,45.57807736745898,11.04699227395255,79.47761194029852,0.16097560975609757,0.3291948272975986,0.3260791366906475,0.4916677777308777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.4,llama_2_7b,tulu_all,1.0,coding_100,0.4,task_arithmetic,0.4537037037037037,0.3916666666666667,0.26280487804878044,0.48398923246956166,0.305,0.07,0.48810710724967954,0.5021364477994588,0.631,0.5556915544675642,43.42093268134559,10.838333518866117,78.73134328358209,0.17621951219512194,0.37517019810967556,0.32625899280575543,0.5005799015337514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.5,llama_2_7b,tulu_all,1.0,coding_100,0.5,task_arithmetic,0.42870370370370375,0.3842592592592593,0.27439024390243905,0.5186792177844054,0.285,0.075,0.4874661729098419,0.4989317761002706,0.597,0.554467564259486,41.541805778595055,10.306148543644227,78.9637952559301,0.20396341463414636,0.3919097449028356,0.3327338129496403,0.5099542916490597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.6,llama_2_7b,tulu_all,1.0,coding_100,0.6,task_arithmetic,0.4537037037037038,0.3712962962962963,0.3100609756097561,0.5602965334899187,0.28,0.07,0.4859706594502208,0.49216635806865117,0.5578571428571428,0.5899632802937577,39.25844269406399,9.703318587133802,79.55112219451371,0.22743902439024388,0.4274397636645617,0.3381294964028777,0.5452299054043045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.7,llama_2_7b,tulu_all,1.0,coding_100,0.7,task_arithmetic,0.42407407407407405,0.39074074074074083,0.3323170731707317,0.5586219781502195,0.29,0.055,0.48347813701751885,0.4861843042301666,0.5174285714285715,0.5752753977968176,36.89970835366156,9.177823091033558,79.20298879202988,0.24695121951219512,0.43254336371926794,0.3206834532374101,0.5469657355585146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.8,llama_2_7b,tulu_all,1.0,coding_100,0.8,task_arithmetic,0.41851851851851857,0.3898148148148148,0.3600609756097561,0.610893259877629,0.245,0.07,0.47813701751887194,0.4795613160518445,0.4442857142857143,0.583843329253366,34.70442537628483,8.614312637498152,80.57285180572852,0.2804878048780488,0.4486019860604546,0.32643884892086333,0.5541700654068964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-coding_100_0.9,llama_2_7b,tulu_all,1.0,coding_100,0.9,task_arithmetic,0.39444444444444443,0.3768518518518519,0.38231707317073166,0.5921229529362128,0.225,0.055,0.4749323458196838,0.46560319042871384,0.38257142857142856,0.5973072215422277,32.145045752951326,8.07376540733552,79.07845579078456,0.2603658536585366,0.45811456534102457,0.3055755395683453,0.5325749489390712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
