model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm
llama_2_7b-tulu_all-safety_80,llama_2_7b,tulu_all,1.0,safety_80,1.0,N/A,0.4527777777777777,0.3953703703703703,0.2253048780487805,0.3814314885446804,0.31,0.055,0.49380430138156955,0.5025637373593506,0.008714285714285714,0.5079559363525091,47.12518398306169,12.321548889550552,0.0
llama_2_7b-tulu_all-safety_upsample,llama_2_7b,tulu_all,1.0,safety_upsample,1.0,N/A,0.44074074074074077,0.40833333333333327,0.20396341463414633,0.39631482973720383,0.315,0.055,0.49017234012248967,0.49715140293405496,0.15671428571428572,0.5397796817625459,47.633181059893644,11.903841434333964,0.0
llama_2_7b-tulu_all-safety_100,llama_2_7b,tulu_all,1.0,safety_100,1.0,N/A,0.4407407407407408,0.38518518518518513,0.21615853658536582,0.35061701682746765,0.34,0.065,0.4924512177752457,0.5083321464178892,0.038714285714285715,0.5055079559363526,49.54904199157806,11.902589030981229,0.0
llama_2_7b-tulu_all-safety_60,llama_2_7b,tulu_all,1.0,safety_60,1.0,N/A,0.4148148148148149,0.39722222222222225,0.2426829268292683,0.37687250923960885,0.355,0.07,0.49480131035465036,0.5079048568579975,0.01042857142857143,0.5165238678090576,49.30156390194893,12.897149329979063,0.0
tulu_2_7b_uncensored-tulu_match-safety_60,tulu_2_7b_uncensored,tulu_match,1.0,safety_60,1.0,N/A,0.4287037037037037,0.362037037037037,0.1856707317073171,0.36983646592024605,0.26,0.04,0.47058823529411764,0.4908132744623273,0.015285714285714286,0.5299877600979193,46.31207832827468,10.609129222073188,0.0
llama_2_7b-tulu_all-safety_40,llama_2_7b,tulu_all,1.0,safety_40,1.0,N/A,0.4083333333333332,0.38425925925925913,0.2192073170731707,0.36966871005608454,0.365,0.065,0.4974362626406495,0.5040592508189716,0.007857142857142858,0.5128518971848225,45.01046525759468,11.108053291702385,0.0
llama_2_7b-tulu_all-safety_20,llama_2_7b,tulu_all,1.0,safety_20,1.0,N/A,0.4370370370370371,0.38240740740740736,0.21006097560975606,0.35916573421292897,0.305,0.075,0.4927360774818402,0.4955134596211366,0.005,0.5238678090575275,46.83237959379158,12.056211799238035,0.0
tulu_2_7b_uncensored-tulu_match-safety_80,tulu_2_7b_uncensored,tulu_match,1.0,safety_80,1.0,N/A,0.4194444444444445,0.3861111111111111,0.1942073170731707,0.3563319373369966,0.275,0.04,0.4807007548782225,0.4860418743768694,0.022714285714285715,0.5336597307221542,46.39309022819197,10.970187910626224,0.0
tulu_2_7b_uncensored-tulu_none-safety_20,tulu_2_7b_uncensored,tulu_none,0.0,safety_20,1.0,N/A,0.37129629629629624,0.31111111111111106,0.17591463414634145,0.32282799225240516,0.17,0.015,0.4572710440108247,0.47984617575843896,0.0,0.3390452876376989,31.66272805562398,7.92611760284793,0.0
tulu_2_7b_uncensored-tulu_match-safety_20,tulu_2_7b_uncensored,tulu_match,1.0,safety_20,1.0,N/A,0.4416666666666667,0.3907407407407408,0.20121951219512196,0.35167516920140945,0.285,0.045,0.48369178179746475,0.48483122062384276,0.00014285714285714287,0.49571603427172584,45.41185372645983,11.676619757393514,0.0
tulu_2_7b_uncensored-tulu_match-safety_40,tulu_2_7b_uncensored,tulu_match,1.0,safety_40,1.0,N/A,0.40370370370370373,0.3675925925925925,0.2173780487804878,0.3595037541934016,0.27,0.065,0.48540094003703177,0.48924654607605755,0.004571428571428572,0.5177478580171359,45.5696431422933,12.130937584047134,0.0
tulu_2_7b_uncensored-tulu_match-safety_100,tulu_2_7b_uncensored,tulu_match,1.0,safety_100,1.0,N/A,0.4166666666666667,0.36574074074074076,0.18079268292682926,0.3536022329252715,0.335,0.055,0.4900299102691924,0.5002848597065945,0.012,0.5287637698898409,45.9993662143383,12.381554132536111,0.0
tulu_2_7b_uncensored-tulu_match-safety_v0_100,tulu_2_7b_uncensored,tulu_match,1.0,safety_v0_100,1.0,N/A,0.41851851851851857,0.35277777777777786,0.1798780487804878,0.3712276217703614,0.29,0.035,0.48775103261643643,0.48924654607605755,0.020428571428571428,0.47980416156670747,45.20904775429493,11.900888175760183,0.0
tulu_2_7b_uncensored-tulu_none-safety_40,tulu_2_7b_uncensored,tulu_none,0.0,safety_40,1.0,N/A,0.34074074074074073,0.3203703703703703,0.16219512195121952,0.3350349623946996,0.215,0.05,0.4562740350377439,0.4738641219199544,0.0,0.3574051407588739,28.887782805150607,6.8112084853729975,0.0
tulu_2_7b_uncensored-tulu_none-safety_60,tulu_2_7b_uncensored,tulu_none,0.0,safety_60,1.0,N/A,0.3296296296296297,0.3333333333333333,0.14908536585365853,0.3079837599914244,0.245,0.06,0.44908132744623275,0.4696624412476855,0.0,0.40269277845777235,30.379718694939672,7.179110557140003,0.0
tulu_2_7b_uncensored-tulu_none-safety_upsample,tulu_2_7b_uncensored,tulu_none,0.0,safety_upsample,1.0,N/A,0.2712962962962963,0.3435185185185186,0.14542682926829267,0.25409142130240064,0.175,0.07,0.4247258225324028,0.4436689930209372,0.0,0.3990208078335373,31.081229179128954,6.929440223494421,0.0
tulu_2_7b_uncensored-tulu_none-safety_80,tulu_2_7b_uncensored,tulu_none,0.0,safety_80,1.0,N/A,0.3611111111111111,0.3333333333333333,0.1804878048780488,0.32334528625493664,0.23,0.035,0.46118786497649905,0.4824811280444381,0.0,0.397796817625459,32.59734279170693,6.871083262442173,0.0
