model_key,base_model,tulu_model,tulu_model_weight,safety_model,safety_model_weight,merge_method,harmbench,safe_average,unsafe_average
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.2,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,26.25,91.99999632000015,6.4999997400000105
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.3,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,16.25,79.5999968160001,3.4999998600000053
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.4,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,10.75,71.19999715200011,2.4999999000000037
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.5,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,5.25,62.7999974880001,1.4999999400000024
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.6,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,3.0,52.399997904000074,1.4999999400000024
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.7,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,1.5,47.999998080000076,1.4999999400000024
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.8,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,0.5,42.799998288000076,1.9999999200000032
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.9,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,0.5,37.99999848000006,1.4999999400000024
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_1.0,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,0.25,30.399998784000047,0.9999999600000016
tulu_2_7b_continued_ft_lora-tulu_none-safety_10,tulu_2_7b_continued_ft_lora,tulu_none,0.0,safety_10,1.0,N/A,25.0,91.59999633600015,6.49999974000001
tulu_2_7b_continued_ft_lora-tulu_none-safety_20,tulu_2_7b_continued_ft_lora,tulu_none,0.0,safety_20,1.0,N/A,9.0,53.599997856000094,0.4999999800000008
tulu_2_7b_continued_ft_lora-tulu_none-safety_60,tulu_2_7b_continued_ft_lora,tulu_none,0.0,safety_60,1.0,N/A,0.25,16.399999344000026,0.0
tulu_2_7b_continued_ft_lora-tulu_none-safety_100,tulu_2_7b_continued_ft_lora,tulu_none,0.0,safety_100,1.0,N/A,0.0,7.599999696000012,0.0
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.1,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,47.0,96.79999612800016,17.499999300000027
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.2,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,36.25,94.79999620800017,12.499999500000019
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.3,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,20.25,83.59999665600013,5.499999780000008
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.4,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,16.0,78.39999686400012,2.9999998800000047
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.5,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,8.25,66.3999973440001,1.9999999200000032
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.6,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,2.5,49.59999801600009,0.9999999600000016
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.7,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,1.0,46.799998128000084,0.9999999600000016
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.8,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,0.25,33.99999864000005,0.9999999600000016
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.9,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,0.25,29.199998832000052,0.9999999600000016
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_1.0,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,0.0,26.399998944000046,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.98-safety_10_0.02,llama_2_7b,tulu_all,0.98,safety_10_,0.02,linear_weighted,54.25,98.79999604800017,26.49999894000004
linear_weighted-llama_2_7b-tulu_all_0.96-safety_20_0.04,llama_2_7b,tulu_all,0.96,safety_20_,0.04,linear_weighted,47.5,97.59999609600017,24.499999020000036
linear_weighted-llama_2_7b-tulu_all_0.88-safety_60_0.12,llama_2_7b,tulu_all,0.88,safety_60_,0.12,linear_weighted,38.5,94.79999620800017,10.499999580000017
linear_weighted-llama_2_7b-tulu_all_0.82-safety_100_0.18,llama_2_7b,tulu_all,0.82,safety_100_,0.18,linear_weighted,31.0,91.99999632000016,6.49999974000001
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_10_0.02,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,54.5,99.19999603200017,26.999998920000046
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_20_0.04,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,52.75,98.39999606400018,27.49999890000004
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_60_0.13,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,38.0,95.99999616000015,11.499999540000017
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.22,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,26.0,89.99999640000014,6.4999997400000105
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.1,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,40.0,96.79999612800017,14.499999420000023
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.2,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,25.25,89.99999640000013,4.499999820000007
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.22,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,26.75,90.79999636800015,4.499999820000007
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.3,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,14.0,81.99999672000014,2.9999998800000047
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.4,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,10.5,73.19999707200012,4.499999820000007
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.5,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,7.0,64.7999974080001,1.9999999200000032
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.6,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,4.0,53.59999785600008,1.4999999400000024
dare_task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.7,dare_task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,1.25,45.99999816000007,1.9999999200000032
